d%,Armatura Minore Inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
14-29,Armatura Completa Nanica,Armatura maggiore inferiore,Armatura,16.500 mo,25 kg,Manuale di Gioco
-,Usbergo dell'Eroe,Armatura maggiore inferiore,Armatura,16.600 mo,"12,5 kg",Guida alle Classi
30-45,Corazza di Bande della Fortuna,Armatura maggiore inferiore,Armatura,18.900 mo,"17,5 kg",Manuale di Gioco
46-58,Cuoio Pelle di Gatto,Armatura maggiore inferiore,Armatura,18.910 mo,10 kg,Guida all'Equipaggiamento
-,Corazza di Piastre Indomita,Armatura maggiore inferiore,Armatura,22.350 mo,20 kg,Avventure Mitiche
59-71,Armatura Celestiale,Armatura maggiore inferiore,Armatura,22.400 mo,10 kg,Manuale di Gioco
72-84,Corazza di Piastre del Bucaniere,Armatura maggiore inferiore,Armatura,23.850 mo,15 kg,Guida del Giocatore
85-100,Armatura Completa delle ProfonditÃ,Armatura maggiore inferiore,Armatura,24.650 mo,25 kg,Manuale di Gioco
d%,Armatura Maggiore Superiore,Prezzo,Peso,Fonte,,
-,Armatura della Camminata Spirituale,Armatura maggiore superiore,Armatura,25.160 mo,"7,5 kg",Avventure Mitiche
01-10,Corazza di Piastre del Comando,Armatura maggiore superiore,Armatura,25.400 mo,15 kg,Manuale di Gioco
11-14,Corazza di Bande Derelitta,Armatura maggiore superiore,Armatura,25.400 mo,"17,5 kg",Guida del Giocatore
15-24,Armatura in Mithral della VelocitÃ,Armatura maggiore superiore,Armatura,26.500 mo,"12,5 kg",Manuale di Gioco
25-28,Guardiana dei Boschi,Armatura maggiore superiore,Armatura,29.350 mo,"12,5 kg",Guida all'Equipaggiamento
29-32,Corazza di Piastre di Scarabeo,Armatura maggiore superiore,Armatura,32.350 mo,15 kg,Guida all'Equipaggiamento
-,Armatura Completa del Cadavere,Armatura maggiore superiore,Armatura,35.650 mo,25 kg,Guida alle Classi
33-38,Armatura di Pelle di Gigante (Ogre),Armatura maggiore superiore,Armatura,39.165 mo,"12,5 kg",Guida del Giocatore
39-42,Pelle di Hamatula,Armatura maggiore superiore,Armatura,44.215 mo,6 kg,Guida all'Equipaggiamento
43-48,Armatura di Pelle di Gigante (Gigante delle Colline),Armatura maggiore superiore,Armatura,46.665 mo,"12,5 kg",Guida del Giocatore
49-52,Armatura Demoniaca,Armatura maggiore superiore,Armatura,52.260 mo,25 kg,Manuale di Gioco
53-58,"Armatura di Pelle di Gigante (Gigante del Fuoco, del Gelo o delle Rocce)",Armatura maggiore superiore,Armatura,54.165 mo,"12,5 kg",Guida del Giocatore
59-64,Armatura di Pelle di Gigante (Troll),Armatura maggiore superiore,Armatura,59.165 mo,"12,5 kg",Guida del Giocatore
65-70,Cotta della Malevolenza,Armatura maggiore superiore,Armatura,61.300 mo,20 kg,Guida all'Equipaggiamento
71-76,Armatura di Pelle di Gigante (Gigante delle Nuvole),Armatura maggiore superiore,Armatura,69.165 mo,"12,5 kg",Guida del Giocatore
77-82,Armatura di Pelle di Gigante (Gigante delle Tempeste),Armatura maggiore superiore,Armatura,76.665 mo,"12,5 kg",Guida del Giocatore
83-88,Mezza Armatura Stella del Giorno,Armatura maggiore superiore,Armatura,81.250 mo,25 kg,Guida del Giocatore
89-96,Armatura Invincibile,Armatura maggiore superiore,Armatura,137.650 mo,25 kg,Guida all'Equipaggiamento
97-100,Armatura Completa Prismatica,Armatura maggiore superiore,Armatura,160.650 mo,25 kg,Guida all'Equipaggiamento
